"","male","ageyears","recid"
"222",1,20,1
"223",1,42,0
"224",1,37,0
"225",1,18,1
"226",1,48,0
"227",1,19,0
"228",1,22,0
"229",1,36,1
"230",1,48,1
"231",1,50,0
"232",1,31,0
"233",1,54,0
"234",1,18,0
"235",1,29,1
"236",1,22,0
"237",1,28,1
"238",0,29,0
"239",1,34,0
"240",1,23,0
"241",1,48,0
"242",1,27,1
"243",1,51,0
"244",1,24,0
"245",1,47,0
"246",1,58,1
"247",1,21,1
"248",1,26,0
"249",1,22,0
"250",1,23,0
"251",0,48,0
"252",1,51,0
"253",1,19,1
"254",0,24,1
"255",1,38,1
"256",0,36,0
"257",1,24,0
"258",1,27,0
"259",1,24,1
"260",1,53,0
"261",1,20,1
"262",1,21,0
"263",1,46,0
"264",1,52,0
"265",1,34,0
"266",1,45,1
"267",1,36,0
"268",1,52,0
"269",1,31,0
"270",1,50,0
"271",1,21,1
"272",1,29,0
"273",1,29,0
"274",1,25,1
"275",1,41,0
"276",1,21,0
"277",1,33,0
"278",1,44,1
"279",1,24,1
"280",1,24,0
"281",1,64,0
"282",1,31,0
"283",1,45,0
"284",1,31,1
"285",1,24,1
"286",1,23,1
"287",1,28,1
"288",1,27,0
"289",1,23,0
"290",1,21,0
"291",1,51,0
"292",1,27,0
"293",1,30,1
"294",1,48,1
"295",1,19,0
"296",1,21,0
"297",1,23,1
"298",1,30,0
"299",1,19,0
"300",1,26,0
"301",1,22,1
"302",1,21,0
"303",1,20,0
"304",1,32,0
"305",1,39,1
"306",1,23,0
"307",1,26,1
"308",1,28,0
"309",1,28,0
"310",1,30,0
"311",1,33,0
"312",1,29,0
"313",1,42,1
"314",1,32,0
"315",1,40,0
"316",1,32,0
"317",1,36,0
"318",1,40,0
"319",1,24,0
"320",1,32,0
"321",1,35,1
"322",1,28,1
"323",1,24,0
"324",1,50,0
"325",1,27,1
"326",1,27,1
"327",1,26,0
"328",1,40,0
"329",1,29,0
"330",1,25,1
"331",1,68,0
"332",1,24,1
"333",1,29,0
"334",1,46,0
"335",1,23,0
"336",1,34,1
"337",1,38,1
"338",1,29,1
"339",1,29,1
"340",1,27,0
"341",1,21,1
"342",1,22,0
"343",1,27,0
"344",1,22,0
"345",0,21,0
"346",1,23,1
"347",1,19,1
"348",0,32,1
"349",1,41,1
"350",1,21,1
"351",1,23,1
"352",1,23,1
"353",1,26,0
"354",1,29,0
"355",1,31,1
"356",1,24,0
"357",1,30,0
"358",1,30,0
"359",1,28,1
"360",1,32,0
"361",0,23,0
"362",1,31,0
"363",1,34,0
"364",1,27,0
"365",1,34,1
"366",1,21,0
"367",1,26,1
"368",0,18,0
"369",1,19,0
"370",1,24,0
"371",1,48,1
"372",1,32,0
"373",1,38,0
"374",1,21,0
"375",1,28,0
"376",1,35,0
"377",1,24,0
"378",1,39,0
"379",1,32,1
"380",1,36,1
"381",1,31,0
"382",1,21,0
"383",1,16,1
"384",1,31,1
"385",1,23,0
"386",1,35,0
"387",1,22,0
"388",1,22,0
"389",1,29,0
"390",0,40,0
"391",1,21,0
"392",0,37,0
"393",1,20,0
"394",1,18,1
"395",1,27,0
"396",1,34,1
"397",1,35,0
"398",0,38,0
"399",0,30,0
"400",0,23,1
"401",1,26,0
"402",1,26,1
"403",1,29,1
"404",1,24,0
"405",1,26,1
"406",1,50,0
"407",1,32,1
"408",1,39,0
"409",1,20,1
"410",1,38,0
"411",1,24,0
"412",0,36,0
"413",1,24,0
"414",1,19,1
"415",1,36,0
"416",1,37,0
"417",1,20,1
"418",1,36,1
"419",1,56,1
"420",1,26,1
"421",0,26,0
"422",1,19,1
"423",1,65,0
"424",1,24,1
"425",1,20,0
"426",1,45,1
"427",1,26,0
"428",1,26,0
"429",1,21,0
"430",1,25,1
"431",1,36,1
"432",1,19,1
"433",1,23,0
"434",1,53,0
"435",1,30,0
"436",1,20,1
"437",1,18,1
"438",1,24,0
"439",1,27,1
"440",1,23,0
"441",1,21,1
"442",1,26,0
"443",1,23,1
"444",1,40,1
"445",1,18,1
"446",1,22,1
"447",1,32,0
"448",1,40,0
"449",1,24,1
"450",1,21,0
"451",1,26,1
"452",1,54,0
"453",1,28,0
"454",1,30,0
"455",1,24,1
"456",1,27,0
"457",1,22,1
"458",1,18,1
"459",1,27,1
"460",1,26,1
"461",1,36,0
"462",1,56,0
"463",1,58,0
"464",1,30,0
"465",1,49,0
"466",0,28,0
"467",1,41,0
"468",1,17,0
"469",1,25,1
"470",1,34,0
"471",1,28,1
"472",1,34,1
"473",1,26,1
"474",1,24,0
"475",1,17,0
"476",1,25,0
"477",1,22,0
"478",1,19,1
"479",1,26,0
"480",1,18,0
"481",1,21,1
"482",1,28,0
"483",0,38,0
"484",1,34,0
"485",1,18,1
"486",1,20,1
"487",1,17,1
"488",1,26,1
"489",0,50,0
"490",1,20,0
"491",0,31,0
"492",0,34,0
"493",1,29,0
"494",1,43,1
"495",0,27,0
"496",1,32,1
"497",1,48,0
"498",1,19,1
"499",1,27,0
"500",1,32,0
"501",1,29,0
"502",1,18,1
"503",1,24,1
"504",1,47,0
"505",1,20,0
"506",1,44,1
"507",1,32,1
"508",1,25,0
"509",1,53,0
"510",1,44,0
"511",1,18,1
"512",1,20,0
"513",1,44,0
"514",1,32,0
"515",1,32,0
"516",1,27,1
"517",1,19,0
"518",1,26,0
"519",0,30,0
"520",1,47,1
"521",1,25,0
"522",1,21,1
"523",1,28,0
"524",1,26,1
"525",1,26,1
"526",1,23,0
"527",1,26,0
"528",1,23,0
"529",1,38,0
"530",1,21,0
"531",1,22,1
"532",1,23,1
"533",1,25,0
"534",1,18,0
"535",1,28,0
"536",1,21,1
"537",1,24,1
"538",1,27,1
"539",1,41,0
"540",1,21,0
"541",1,50,0
"542",1,18,0
"543",1,27,0
"544",1,26,0
"545",1,53,1
"546",1,17,0
"547",1,20,1
"548",1,37,0
"549",1,23,0
"550",1,20,0
"551",1,36,1
"552",1,55,0
"553",1,20,1
"554",1,29,0
"555",1,35,0
"556",1,17,1
"557",1,20,0
"558",1,23,1
"559",1,55,1
"560",1,37,0
"561",1,40,0
"562",1,20,1
"563",1,18,0
"564",1,33,0
"565",0,23,0
"566",1,24,1
"567",1,58,0
"568",1,21,0
"569",1,29,0
"570",0,18,0
"571",1,18,1
"572",1,41,0
"573",1,23,0
"574",1,35,0
"575",1,26,1
"576",1,30,0
"577",1,22,1
"578",1,24,1
"579",1,38,0
"580",1,36,0
"581",1,27,0
"582",1,21,0
"583",1,41,1
"584",1,26,0
"585",1,30,1
"586",1,28,1
"587",1,20,1
"588",1,28,0
"589",1,22,0
"590",1,18,0
"591",1,50,1
"592",1,22,1
"593",1,18,1
"594",1,23,0
"595",1,27,1
"596",0,29,0
"597",1,27,1
"598",1,20,0
"599",1,26,0
"600",1,23,1
"601",1,28,0
"602",1,17,1
"603",1,23,1
"604",1,51,1
"605",1,26,0
"606",1,27,1
"607",1,24,1
"608",1,29,0
"609",1,22,1
"610",1,20,1
"611",1,41,1
"612",1,31,0
"613",1,33,0
"614",1,26,0
"615",1,44,0
"616",1,43,0
"617",1,51,0
"618",1,32,0
"619",1,38,0
"620",1,22,1
"621",1,24,0
"622",1,19,0
"623",1,23,1
"624",1,42,0
"625",1,20,0
"626",0,22,0
"627",1,35,1
"628",1,29,0
"629",0,18,1
"630",1,22,1
"631",1,21,0
"632",1,25,0
"633",0,21,0
"634",1,21,1
"635",1,20,0
"636",1,19,1
"637",1,21,1
"638",1,26,1
"639",1,65,1
"640",1,22,0
"641",1,70,1
"642",1,24,1
"643",1,23,1
"644",1,29,1
"645",1,37,1
"646",1,25,0
"647",1,43,1
"648",1,32,0
"649",1,28,1
"650",1,24,1
"651",1,35,0
"652",1,34,1
"653",1,18,0
"654",1,20,0
"655",1,24,1
"656",1,22,0
"657",1,21,0
"658",1,34,1
"659",1,21,0
"660",1,50,0
"661",1,24,0
"662",1,28,0
"663",1,28,1
"664",1,29,1
"665",1,39,1
"666",1,17,1
"667",0,18,0
"668",0,32,1
"669",1,20,1
"670",1,21,1
"671",1,20,1
"672",0,19,1
"673",1,35,1
"674",1,24,0
"675",1,20,0
"676",1,38,0
"677",1,18,1
"678",1,17,1
"679",1,70,0
"680",1,30,0
"681",1,34,0
"682",1,23,0
"683",1,36,0
"684",1,24,0
"685",1,49,0
"686",1,26,0
"687",1,24,0
"688",1,26,1
"689",1,37,1
"690",1,25,0
"691",1,28,0
"692",1,21,0
"693",1,20,0
"694",1,30,1
"695",1,22,1
"696",1,26,0
"697",1,22,0
"698",1,43,0
"699",1,24,1
"700",1,23,0
"701",1,33,0
"702",1,22,0
"703",1,21,0
"704",1,52,0
"705",1,34,1
"706",1,19,1
"707",1,17,1
"708",1,17,1
"709",1,25,1
"710",1,32,0
"711",1,36,1
"712",1,44,0
"713",1,32,0
"714",1,34,0
"715",1,32,0
"716",1,33,0
"717",0,17,0
"718",1,17,0
"719",0,22,0
"720",1,18,0
"721",1,31,1
"722",1,27,1
"723",1,39,0
"724",1,64,0
"725",1,28,0
"726",1,25,0
"727",1,22,1
"728",1,29,1
"729",1,35,1
"730",1,22,1
"731",1,22,0
"732",1,32,0
"733",1,31,1
"734",1,39,1
"735",1,19,0
"736",0,24,0
"737",1,22,0
"738",1,27,0
"739",1,20,0
"740",1,51,1
"741",1,44,0
"742",1,33,1
"743",1,29,0
"744",1,40,0
"745",1,25,0
"746",1,60,0
"747",1,46,0
"748",1,26,1
"749",1,21,0
"750",1,43,0
"751",1,25,1
"752",1,43,0
"753",0,20,0
"754",1,51,1
"755",1,17,0
"756",1,37,1
"757",0,19,1
"758",1,28,0
"759",1,31,0
"760",1,34,0
"761",1,33,0
"762",1,22,0
"763",1,29,1
"764",1,22,0
"765",1,39,0
"766",1,30,1
"767",1,33,1
"768",1,22,1
"769",1,40,1
"770",1,46,1
"771",1,54,0
"772",1,36,1
"773",1,18,0
"774",1,28,1
"775",1,27,0
"776",1,56,0
"777",1,19,0
"778",1,33,0
"779",1,26,0
"780",1,44,0
"781",0,32,0
"782",1,21,1
"783",1,46,0
"784",1,30,0
"785",1,28,0
"786",1,45,0
"787",1,30,1
"788",1,19,1
"789",1,27,1
"790",1,22,1
"791",1,19,1
"792",1,25,0
"793",1,20,0
"794",1,24,0
"795",1,23,0
"796",1,23,1
"797",0,21,0
"798",1,46,1
"799",1,25,1
"800",1,60,0
"801",0,26,0
"802",1,32,1
"803",1,44,0
"804",1,18,1
"805",1,24,1
"806",1,27,1
"807",1,48,0
"808",1,55,0
"809",0,34,0
"810",1,62,0
"811",1,24,0
"812",1,18,1
"813",1,22,0
"814",1,20,0
"815",1,39,1
"816",1,46,0
"817",1,32,0
"818",1,45,0
"819",1,43,0
"820",1,23,0
"821",1,24,0
"822",1,28,1
"823",1,24,1
"824",1,20,0
"825",1,23,1
"826",0,44,0
"827",1,49,1
"828",1,22,1
"829",1,20,1
"830",1,19,1
"831",1,38,1
"832",1,20,1
"833",1,19,0
"834",1,23,0
"835",1,36,0
"836",1,20,0
"837",1,41,0
"838",1,25,1
"839",1,25,1
"840",1,30,1
"841",1,26,0
"842",1,22,0
"843",1,24,0
"844",1,58,1
"845",1,23,0
"846",1,24,0
"847",1,22,0
"848",1,29,0
"849",1,34,1
"850",1,28,1
"851",1,29,0
"852",0,25,0
"853",1,23,0
"854",1,23,0
"855",1,23,0
"856",1,50,0
"857",1,24,1
"858",1,36,1
"859",1,17,0
"860",1,23,1
"861",0,19,1
"862",1,44,0
"863",1,35,0
"864",1,27,0
"865",1,55,1
"866",1,30,1
"867",1,19,1
"868",1,44,1
"869",1,35,0
"870",1,19,1
"871",1,24,1
"872",1,49,0
"873",1,43,0
"874",1,29,0
"875",1,21,0
"876",1,37,1
"877",1,27,0
"878",0,22,1
"879",1,24,1
"880",1,21,0
"881",1,43,0
"882",1,36,0
"883",1,28,0
"884",1,32,1
"885",1,27,0
"886",1,41,0
"887",1,22,0
"888",1,20,1
"889",1,24,1
"890",1,27,1
"891",1,38,1
"892",1,42,0
"893",1,21,0
"894",1,19,0
"895",1,19,1
"896",1,22,0
"897",1,21,1
"898",1,20,1
"899",1,24,0
"900",1,26,1
"901",1,44,0
"902",1,21,1
"903",1,26,1
"904",1,21,1
"905",1,51,0
"906",1,20,1
"907",1,58,1
"908",1,36,0
"909",1,19,1
"910",1,30,0
"911",1,22,0
"912",1,21,0
"913",1,27,1
"914",1,28,0
"915",1,34,1
"916",1,21,0
"917",1,23,0
"918",1,34,0
"919",0,36,0
"920",1,32,1
"921",1,38,1
"922",1,21,1
"923",1,54,1
"924",0,25,1
"925",1,40,0
"926",1,33,1
"927",1,39,1
"928",1,26,1
"929",1,18,1
"930",1,30,0
"931",1,44,0
"932",1,60,0
"933",1,28,1
"934",1,32,1
"935",1,24,0
"936",1,21,0
"937",1,25,1
"938",1,46,1
"939",0,20,0
"940",1,17,1
"941",1,23,1
"942",1,20,1
"943",1,23,0
"944",1,24,1
"945",1,33,0
"946",1,24,1
"947",1,23,0
"948",1,22,0
"949",0,35,0
"950",1,25,1
"951",1,29,0
"952",1,20,1
"953",0,19,0
"954",1,23,0
"955",1,21,0
"956",0,21,0
"957",1,18,1
"958",1,27,1
"959",1,19,1
"960",1,44,0
"961",1,31,0
"962",1,22,1
"963",1,22,1
"964",1,21,0
"965",1,29,1
"966",1,18,0
"967",1,18,0
"968",1,34,0
"969",1,60,1
"970",1,21,0
"971",1,18,0
"972",1,41,1
"973",0,18,0
"974",1,20,1
"975",1,30,0
"976",1,21,1
"977",1,33,0
"978",1,24,0
"979",1,20,1
"980",1,41,0
"981",1,26,0
"982",1,36,0
"983",1,18,0
"984",1,21,0
"985",1,22,1
"986",1,36,0
"987",1,32,0
"988",1,32,0
"989",1,31,0
"990",1,30,0
"991",1,34,0
"992",1,24,1
"993",1,23,0
"994",1,26,1
"995",1,35,0
"996",0,25,0
"997",1,21,1
"998",1,26,1
"999",1,22,1
"1000",1,19,0
"1001",1,20,0
"1002",1,19,0
"1003",1,29,1
"1004",1,36,0
"1005",1,17,1
"1006",1,19,0
"1007",1,34,0
"1008",1,24,0
"1009",1,61,0
"1010",1,32,0
"1011",1,17,1
"1012",0,52,0
"1013",0,25,0
"1014",1,23,0
"1015",1,24,1
"1016",1,29,0
"1017",1,20,0
"1018",1,47,1
"1019",1,25,0
"1020",1,28,0
"1021",1,22,1
"1022",1,42,1
"1023",1,32,0
"1024",1,33,0
"1025",1,36,0
"1026",1,23,0
"1027",1,19,0
"1028",1,31,0
"1029",1,34,0
"1030",1,38,0
"1031",1,24,1
"1032",0,24,0
"1033",1,18,0
"1034",1,28,0
"1035",1,24,1
"1036",1,27,0
"1037",0,20,0
"1038",1,18,1
"1039",1,20,1
"1040",1,27,0
"1041",0,22,1
"1042",0,22,0
"1043",1,22,0
"1044",1,23,0
"1045",1,22,0
"1046",1,31,1
"1047",0,21,0
"1048",1,32,0
"1049",1,31,0
"1050",1,28,1
"1051",1,32,0
"1052",1,26,0
"1053",1,18,1
"1054",1,31,0
"1055",0,19,0
"1056",1,22,1
"1057",1,32,0
"1058",0,21,0
"1059",1,54,0
"1060",1,28,1
"1061",1,23,0
"1062",1,37,0
"1063",1,28,0
"1064",0,20,1
"1065",1,23,0
"1066",1,49,1
"1067",1,36,0
"1068",1,22,0
"1069",1,20,0
"1070",1,33,1
"1071",1,19,0
"1072",1,30,0
"1073",1,26,0
"1074",1,26,1
"1075",1,19,0
"1076",1,20,0
"1077",1,30,0
"1078",1,29,1
"1079",1,24,0
"1080",1,20,1
"1081",1,51,0
"1082",1,32,1
"1083",0,28,0
"1084",1,23,0
"1085",1,29,0
"1086",1,22,1
"1087",1,22,0
"1088",1,21,1
"1089",1,32,0
"1090",1,24,0
"1091",0,53,0
"1092",1,38,0
"1093",1,34,0
"1094",1,36,1
"1095",1,17,1
"1096",1,24,1
"1097",1,39,0
"1098",1,27,1
"1099",1,26,0
"1100",1,28,1
"1101",1,17,0
"1102",1,18,1
"1103",1,18,0
"1104",1,20,1
"1105",1,22,0
"1106",1,21,0
"1107",1,41,0
"1108",1,18,1
"1109",1,38,1
"1110",1,19,0
"1111",0,36,0
"1112",1,26,1
"1113",1,26,0
"1114",0,21,1
"1115",1,18,1
"1116",1,79,0
"1117",1,46,1
"1118",1,23,0
"1119",1,18,1
"1120",1,30,0
"1121",1,33,0
"1122",1,51,0
"1123",1,44,0
"1124",1,39,0
"1125",0,20,0
"1126",1,33,0
"1127",1,23,0
"1128",1,29,0
"1129",1,26,1
"1130",1,27,0
"1131",1,32,0
"1132",1,21,1
"1133",1,29,0
"1134",1,28,1
"1135",1,23,0
"1136",1,36,0
"1137",1,21,0
"1138",1,25,1
"1139",1,59,0
"1140",1,26,0
"1141",1,22,0
"1142",1,30,0
"1143",1,30,0
"1144",1,37,0
"1145",1,23,1
"1146",1,28,0
"1147",1,58,0
"1148",1,31,0
"1149",1,29,0
"1150",1,26,1
"1151",1,18,1
"1152",1,41,0
"1153",1,24,1
"1154",1,27,1
"1155",1,49,0
"1156",1,30,0
"1157",1,38,0
"1158",1,22,0
"1159",0,24,0
"1160",1,27,0
"1161",1,23,0
"1162",1,20,1
"1163",1,31,0
"1164",1,30,0
"1165",1,64,0
"1166",1,21,1
"1167",0,21,0
"1168",1,22,0
"1169",1,30,1
"1170",1,34,1
"1171",1,25,0
"1172",1,20,1
"1173",1,18,0
"1174",1,27,0
"1175",1,32,0
"1176",1,25,0
"1177",1,45,1
"1178",1,22,1
"1179",1,23,0
"1180",1,27,0
"1181",1,33,0
"1182",1,44,0
"1183",1,22,0
"1184",1,20,0
"1185",1,41,1
"1186",1,18,1
"1187",0,26,0
"1188",1,47,1
"1189",1,31,1
"1190",1,21,1
"1191",1,44,0
"1192",1,28,1
"1193",1,35,1
"1194",1,23,0
"1195",1,17,0
"1196",1,20,0
"1197",1,35,1
"1198",1,31,0
"1199",1,27,0
"1200",1,31,0
"1201",1,31,1
"1202",0,21,1
"1203",1,42,0
"1204",1,44,1
"1205",1,35,0
"1206",1,22,1
"1207",1,20,1
"1208",1,33,0
"1209",1,19,0
"1210",1,25,0
"1211",1,42,0
"1212",1,45,0
"1213",1,50,0
"1214",1,19,1
"1215",1,22,1
"1216",1,49,1
"1217",1,31,0
"1218",1,28,0
"1219",1,19,0
"1220",1,60,1
"1221",1,54,0
"1222",1,19,0
"1223",1,56,0
"1224",1,35,0
"1225",1,39,1
"1226",1,20,0
"1227",1,20,1
"1228",1,16,1
"1229",1,28,1
"1230",1,19,1
"1231",0,19,0
"1232",1,29,0
"1233",1,37,0
"1234",1,24,1
"1235",1,33,1
"1236",1,24,0
"1237",1,37,0
"1238",1,20,0
"1239",1,36,1
"1240",1,54,0
"1241",1,19,1
"1242",1,24,0
"1243",1,30,0
"1244",1,21,1
"1245",1,39,0
"1246",1,24,1
"1247",1,35,0
"1248",1,22,0
"1249",1,24,0
"1250",1,31,0
"1251",1,21,0
"1252",0,19,0
"1253",1,33,1
"1254",1,38,1
"1255",1,25,0
"1256",1,51,0
"1257",1,55,0
"1258",0,32,0
"1259",1,18,0
"1260",1,29,0
"1261",1,60,0
"1262",0,20,0
"1263",1,22,0
"1264",1,34,0
"1265",1,56,1
"1266",1,26,1
"1267",1,35,1
"1268",1,18,0
"1269",1,28,0
"1270",1,35,1
"1271",1,32,0
"1272",1,23,1
"1273",1,26,0
"1274",1,24,0
"1275",1,56,0
"1276",1,21,0
"1277",1,20,1
"1278",1,21,0
"1279",1,30,0
"1280",1,17,1
"1281",1,33,0
"1282",1,21,0
"1283",1,59,0
"1284",1,23,1
"1285",1,29,0
"1286",1,19,0
"1287",1,37,0
"1288",1,33,1
"1289",0,28,0
"1290",1,41,0
"1291",1,44,1
"1292",1,38,1
"1293",1,57,1
"1294",1,61,1
"1295",1,51,0
"1296",1,42,1
"1297",1,31,1
"1298",1,27,0
"1299",1,43,1
"1300",1,30,0
"1301",1,20,0
"1302",1,27,0
"1303",1,18,0
"1304",1,29,1
"1305",1,23,1
"1306",1,37,0
"1307",1,23,0
"1308",1,20,0
"1309",0,20,1
"1310",1,26,0
"1311",1,42,0
"1312",1,35,0
"1313",1,34,1
"1314",1,34,0
"1315",1,24,0
"1316",1,56,0
"1317",0,30,0
"1318",1,30,0
"1319",1,38,0
"1320",1,26,1
"1321",1,28,0
"1322",1,24,1
"1323",1,18,0
"1324",1,28,1
"1325",1,25,0
"1326",1,20,0
"1327",1,35,0
"1328",1,25,1
"1329",1,27,0
"1330",1,24,1
"1331",1,28,0
"1332",1,34,1
"1333",1,37,1
"1334",1,49,0
"1335",1,19,1
"1336",1,32,0
"1337",1,20,0
"1338",1,22,1
"1339",1,20,0
"1340",1,36,0
"1341",1,43,1
"1342",1,23,0
"1343",1,45,0
"1344",1,43,0
"1345",1,19,1
"1346",1,29,1
"1347",1,28,0
"1348",1,30,1
"1349",1,19,0
"1350",1,18,1
"1351",1,25,1
"1352",1,28,1
"1353",0,38,1
"1354",1,23,0
"1355",1,18,1
"1356",1,24,0
"1357",1,27,0
"1358",1,40,0
"1359",1,35,1
"1360",1,53,1
"1361",1,18,0
"1362",1,28,0
"1363",1,35,1
"1364",1,48,0
"1365",0,24,0
"1366",1,23,0
"1367",1,30,1
"1368",1,27,0
"1369",1,19,0
"1370",1,34,1
"1371",1,38,1
"1372",1,39,1
"1373",1,33,0
"1374",1,37,1
"1375",1,25,1
"1376",1,19,1
"1377",1,34,1
"1378",1,22,0
"1379",1,36,0
"1380",1,45,0
"1381",1,31,0
"1382",1,18,1
"1383",1,43,0
"1384",1,43,1
"1385",1,20,1
"1386",1,36,0
"1387",1,24,1
"1388",1,18,0
"1389",1,22,0
"1390",1,28,1
"1391",1,18,0
"1392",1,18,0
"1393",1,31,0
"1394",1,20,0
"1395",1,40,0
"1396",1,43,0
"1397",1,17,0
"1398",1,34,1
"1399",1,28,0
"1400",1,31,1
"1401",1,19,0
"1402",1,18,1
"1403",1,33,0
"1404",1,41,0
"1405",0,22,0
"1406",1,51,1
"1407",1,33,0
"1408",1,32,0
"1409",1,47,1
"1410",1,36,1
"1411",1,29,0
"1412",1,33,1
"1413",1,39,0
"1414",1,39,1
"1415",1,52,0
"1416",1,27,0
"1417",1,31,0
"1418",1,27,0
"1419",1,23,1
"1420",1,18,0
"1421",1,38,0
"1422",1,25,1
"1423",1,47,1
"1424",1,22,1
"1425",1,33,0
"1426",1,24,1
"1427",1,18,0
"1428",1,31,0
"1429",0,28,0
"1430",1,21,1
"1431",1,21,1
"1432",1,19,0
"1433",1,23,0
"1434",1,28,1
"1435",1,24,0
"1436",1,19,0
"1437",1,19,0
"1438",1,33,1
"1439",1,28,1
"1440",1,56,0
"1441",1,19,1
"1442",1,34,0
"1443",1,25,0
"1444",1,23,1
"1445",1,44,0
"1446",1,23,1
"1447",1,32,0
"1448",1,25,0
"1449",1,24,0
"1450",1,20,0
"1451",1,45,1
"1452",1,23,1
"1453",1,27,0
"1454",1,56,0
"1455",1,19,0
"1456",1,48,0
"1457",1,21,1
"1458",1,48,0
"1459",1,18,1
"1460",1,33,1
"1461",1,20,0
"1462",1,23,0
"1463",1,28,0
"1464",1,39,0
"1465",1,21,1
"1466",1,22,1
"1467",1,18,1
"1468",1,26,1
"1469",1,33,0
"1470",1,26,0
"1471",1,22,1
"1472",1,26,0
"1473",1,20,0
"1474",1,33,0
"1475",1,23,0
"1476",1,64,0
"1477",1,37,0
"1478",1,19,0
"1479",1,21,0
"1480",1,40,1
"1481",1,50,0
"1482",0,22,1
"1483",1,18,1
"1484",1,55,1
"1485",1,22,0
"1486",1,41,1
"1487",1,22,1
"1488",1,25,1
"1489",1,21,0
"1490",0,49,0
"1491",1,29,0
"1492",1,33,0
"1493",1,34,1
"1494",0,35,0
"1495",1,40,1
"1496",1,19,0
"1497",1,32,0
